iter	RMSE
0	14.02578157
1	13.29711877
2	12.51975443
3	11.75269614
4	11.08426452
5	10.53901423
6	10.03096843
7	9.561813935
8	9.139469383
9	8.700632241
10	8.318653104
11	7.993904604
12	7.722268422
13	7.480961865
14	7.226427969
15	7.031127281
16	6.836976643
17	6.665482301
18	6.498038696
19	6.362366561
20	6.245435473
21	6.139911778
22	6.043401908
23	5.959832947
24	5.869913908
25	5.814023162
26	5.751212593
27	5.698031992
28	5.652178106
29	5.602315791
30	5.5625297
31	5.520209888
32	5.48394147
33	5.448933775
34	5.405884533
35	5.365141952
36	5.330169091
37	5.305775275
38	5.282334752
39	5.251435929
40	5.225714526
41	5.20871151
42	5.191449156
43	5.170242086
44	5.148124354
45	5.131187453
46	5.116966966
47	5.096930144
48	5.090051721
49	5.064882798
50	5.044300189
51	5.026343538
52	5.006360144
53	4.995029766
54	4.981973091
55	4.969696429
56	4.956884125
57	4.941438129
58	4.922848132
59	4.913720476
60	4.889954503
61	4.873119632
62	4.856611102
63	4.842560498
64	4.833559535
65	4.824028096
66	4.805932605
67	4.796081503
68	4.778008939
69	4.766215073
70	4.760608682
71	4.751969408
72	4.74575096
73	4.736757212
74	4.727841392
75	4.713428005
76	4.708475169
77	4.70077038
78	4.691296756
79	4.677472647
80	4.668615864
81	4.657298456
82	4.642151589
83	4.632845283
84	4.627620541
85	4.618143258
86	4.604683084
87	4.599275257
88	4.582738501
89	4.568222298
90	4.553219096
91	4.548843178
92	4.531784558
93	4.513319649
94	4.505012749
95	4.498761829
96	4.489139285
97	4.482403639
98	4.469874315
99	4.457301818
